GPU atomic,1024,21200
GPU reduction,1024,74700
CPU,2048,3600
GPU atomic,2048,24400
GPU reduction,2048,96500
CPU,2,200
GPU atomic,2,44800
GPU reduction,2,37300
CPU,4,100
GPU atomic,4,42100
GPU reduction,4,42000
CPU,8,200
GPU atomic,8,26300
GPU reduction,8,36600
CPU,16,200
GPU atomic,16,24600
GPU reduction,16,42800
CPU,32,200
GPU atomic,32,24500
GPU reduction,32,65800
CPU,64,400
GPU atomic,64,23600
GPU reduction,64,53700
CPU,128,500
GPU atomic,128,23800
GPU reduction,128,61900
CPU,256,700
GPU atomic,256,22700
GPU reduction,256,79300
CPU,512,1100
GPU atomic,512,21800
GPU reduction,512,68600
CPU,1024,2500
GPU atomic,1024,32700
GPU reduction,1024,74700
CPU,2048,5000
GPU atomic,2048,27800
GPU reduction,2048,78800
CPU,2,200
GPU atomic,2,23700
GPU reduction,2,28300
CPU,4,200
GPU atomic,4,41400
GPU reduction,4,34600
CPU,8,200
GPU atomic,8,24000
GPU reduction,8,36600
CPU,16,200
GPU atomic,16,23000
GPU reduction,16,43600
CPU,32,300
GPU atomic,32,25600
GPU reduction,32,65300
CPU,64,400
GPU atomic,64,37500
GPU reduction,64,54400
CPU,128,400
GPU atomic,128,24800
GPU reduction,128,57200
CPU,256,700
GPU atomic,256,31700
GPU reduction,256,72700
CPU,512,1300
GPU atomic,512,27200
GPU reduction,512,78200
CPU,1024,2600
GPU atomic,1024,40300
GPU reduction,1024,80700
CPU,2048,3700
GPU atomic,2048,31000
GPU reduction,2048,83500
CPU,2,200
GPU atomic,2,29000
GPU reduction,2,34400
CPU,4,100
GPU atomic,4,25400
GPU reduction,4,39200
CPU,8,200
GPU atomic,8,34500
GPU reduction,8,87300
CPU,16,300
GPU atomic,16,29400
GPU reduction,16,64300
CPU,32,300
GPU atomic,32,26200
GPU reduction,32,49700
CPU,64,300
GPU atomic,64,34200
GPU reduction,64,68000
CPU,128,400
GPU atomic,128,25600
GPU reduction,128,57400
CPU,256,700
GPU atomic,256,33300
GPU reduction,256,66700
CPU,512,1200
GPU atomic,512,40000
GPU reduction,512,70800
CPU,1024,2500
GPU atomic,1024,37800
GPU reduction,1024,74400
CPU,2048,4800
GPU atomic,2048,28300
GPU reduction,2048,81000
CPU,2,200
GPU atomic,2,41400
GPU reduction,2,30300
CPU,4,200
GPU atomic,4,22700
GPU reduction,4,38900
CPU,8,200
GPU atomic,8,24300
GPU reduction,8,39300
CPU,16,200
GPU atomic,16,24200
GPU reduction,16,42500
CPU,32,300
GPU atomic,32,23500
GPU reduction,32,48500
CPU,64,400
GPU atomic,64,23600
GPU reduction,64,51700
CPU,128,400
GPU atomic,128,22400
GPU reduction,128,64500
CPU,256,700
GPU atomic,256,66800
GPU reduction,256,81500
CPU,512,1000
GPU atomic,512,36400
GPU reduction,512,69900
CPU,1024,2600
GPU atomic,1024,24900
GPU reduction,1024,74900
CPU,2048,3600
GPU atomic,2048,42100
GPU reduction,2048,81700
CPU,2,200
GPU atomic,2,22800
GPU reduction,2,26400
CPU,4,200
GPU atomic,4,23000
GPU reduction,4,34000
CPU,8,300
GPU atomic,8,34800
GPU reduction,8,55900
CPU,16,200
GPU atomic,16,24200
GPU reduction,16,43400
CPU,32,200
GPU atomic,32,23000
GPU reduction,32,47500
CPU,64,300
GPU atomic,64,22800
GPU reduction,64,54000
CPU,128,500
GPU atomic,128,24900
GPU reduction,128,57100
CPU,256,700
GPU atomic,256,23400
GPU reduction,256,68100
CPU,512,1100
GPU atomic,512,105700
GPU reduction,512,86900
CPU,1024,2600
GPU atomic,1024,28400
GPU reduction,1024,75600
CPU,2048,3600
GPU atomic,2048,25400
GPU reduction,2048,78400
CPU,2,200
GPU atomic,2,25800
GPU reduction,2,28900
CPU,4,100
GPU atomic,4,21900
GPU reduction,4,31000
CPU,8,100
GPU atomic,8,24200
GPU reduction,8,36700
CPU,16,200
GPU atomic,16,28800
GPU reduction,16,44300
CPU,32,300
GPU atomic,32,35900
GPU reduction,32,51200
CPU,64,400
GPU atomic,64,23700
GPU reduction,64,55200
CPU,128,600
GPU atomic,128,36000
GPU reduction,128,76800
CPU,256,600
GPU atomic,256,30100
GPU reduction,256,64300
CPU,512,1300
GPU atomic,512,26800
GPU reduction,512,84300
CPU,1024,2000
GPU atomic,1024,33700
GPU reduction,1024,76500
CPU,2048,3700
GPU atomic,2048,31000
GPU reduction,2048,93800
CPU,2,100
GPU atomic,2,38500
GPU reduction,2,27200
CPU,4,200
GPU atomic,4,21900
GPU reduction,4,31700
CPU,8,200
GPU atomic,8,23300
GPU reduction,8,37700
CPU,16,200
GPU atomic,16,22500
GPU reduction,16,46700
CPU,32,300
GPU atomic,32,28500
GPU reduction,32,50200
CPU,64,400
GPU atomic,64,64800
GPU reduction,64,61800
CPU,128,700
GPU atomic,128,28500
GPU reduction,128,60800
CPU,256,1200
GPU atomic,256,25900
GPU reduction,256,67900
CPU,512,1100
GPU atomic,512,43000
GPU reduction,512,68400
CPU,1024,2000
GPU atomic,1024,25000
GPU reduction,1024,73000
CPU,2048,3800
GPU atomic,2048,25300
GPU reduction,2048,77700
CPU,2,200
GPU atomic,2,28100
GPU reduction,2,34700
CPU,4,300
GPU atomic,4,29600
GPU reduction,4,34400
CPU,8,200
GPU atomic,8,26300
GPU reduction,8,37600
CPU,16,200
GPU atomic,16,23200
GPU reduction,16,45200
CPU,32,300
GPU atomic,32,26700
GPU reduction,32,50700
CPU,64,300
GPU atomic,64,21900
GPU reduction,64,51600
CPU,128,500
GPU atomic,128,23600
GPU reduction,128,64400
CPU,256,800
GPU atomic,256,24100
GPU reduction,256,62200
CPU,512,1100
GPU atomic,512,23300
GPU reduction,512,68000
CPU,1024,2100
GPU atomic,1024,22100
GPU reduction,1024,73300
CPU,2048,23900
GPU atomic,2048,27300
GPU reduction,2048,77500
CPU,2,300
GPU atomic,2,23700
GPU reduction,2,27200
CPU,4,100
GPU atomic,4,26200
GPU reduction,4,33400
CPU,8,200
GPU atomic,8,25000
GPU reduction,8,41900
CPU,16,200
GPU atomic,16,25000
GPU reduction,16,45600
CPU,32,200
GPU atomic,32,26000
GPU reduction,32,51500
CPU,64,300
GPU atomic,64,23900
GPU reduction,64,52800
CPU,128,600
GPU atomic,128,28900
GPU reduction,128,63500
CPU,256,800
GPU atomic,256,23100
GPU reduction,256,64300
CPU,512,1100
GPU atomic,512,22300
GPU reduction,512,70200
CPU,1024,2000
GPU atomic,1024,33200
GPU reduction,1024,73100
CPU,2048,3900
GPU atomic,2048,23900
GPU reduction,2048,78500
CPU,2,100
GPU atomic,2,24700
GPU reduction,2,27700
CPU,4,100
GPU atomic,4,22100
GPU reduction,4,32200
CPU,8,100
GPU atomic,8,22300
GPU reduction,8,53200
CPU,16,200
GPU atomic,16,25100
GPU reduction,16,42100
CPU,32,300
GPU atomic,32,22100
GPU reduction,32,49700
CPU,64,200
GPU atomic,64,25000
GPU reduction,64,53200
CPU,128,400
GPU atomic,128,22400
